timestamp_utc,clinker_outlet_T_c,secondary_air_T_c,exhaust_T_c,fan_amp_4_20mA,grate_speed_hz,ambient_T_c,ambient_rh_pct
2026-07-15T08:15:00+00:00,135.49,814.02,212.33,72.1,30.81,30.48,83.28
2026-07-15T08:16:00+00:00,134.16,788.49,226.35,72.5,31.84,28.71,89.6
2026-07-15T08:17:00+00:00,161.2,820.42,224.22,72.15,31.3,31.39,85.03
2026-07-15T08:18:00+00:00,133.96,799.27,221.31,71.85,31.39,29.02,85.66
2026-07-15T08:19:00+00:00,154.91,820.28,191.99,72.06,31.99,30.57,87.56
2026-07-15T08:20:00+00:00,122.07,834.46,239.7,72.54,28.64,29.75,68.32
2026-07-15T08:21:00+00:00,154.61,875.1,214.5,73.04,30.64,32.8,87.84
2026-07-15T08:22:00+00:00,161.37,825.23,212.31,72.09,25.5,29.96,79.61
2026-07-15T08:23:00+00:00,165.21,819.82,236.29,72.36,31.87,30.82,80.25
2026-07-15T08:24:00+00:00,163.32,801.9,204.48,73.4,29.55,28.8,81.24
2026-07-15T08:25:00+00:00,163.08,876.03,214.71,72.21,30.11,31.91,84.4
2026-07-15T08:26:00+00:00,152.73,849.21,210.81,74.25,34.52,30.27,71.81
2026-07-15T08:27:00+00:00,194.89,865.34,223.32,72.54,31.21,31.25,81.29
2026-07-15T08:28:00+00:00,143.4,837.76,213.6,73.47,28.58,31.17,77.14
2026-07-15T08:29:00+00:00,160.75,823.8,215.52,72.29,28.05,32.1,76.76
2026-07-15T08:30:00+00:00,129.67,871.85,217.0,73.2,31.43,31.94,79.36
2026-07-15T08:31:00+00:00,160.98,821.64,237.7,73.36,26.76,31.39,86.61
2026-07-15T08:32:00+00:00,145.49,818.96,212.34,73.31,27.53,31.31,72.26
2026-07-15T08:33:00+00:00,155.05,857.21,246.01,72.58,29.65,32.66,89.97
2026-07-15T08:34:00+00:00,158.35,815.71,240.87,73.66,30.91,31.83,85.54
2026-07-15T08:35:00+00:00,165.02,838.63,213.94,72.59,30.74,33.47,76.6
2026-07-15T08:36:00+00:00,153.31,851.26,210.94,73.11,31.74,30.34,90.43
2026-07-15T08:37:00+00:00,194.04,802.15,205.98,73.02,30.25,31.84,83.98
2026-07-15T08:38:00+00:00,138.8,833.29,228.78,72.24,26.94,30.39,76.71
2026-07-15T08:39:00+00:00,143.6,845.91,197.91,72.6,30.04,31.51,74.63
2026-07-15T08:40:00+00:00,127.26,843.3,224.3,72.99,29.33,30.43,75.63
2026-07-15T08:41:00+00:00,191.13,854.88,200.39,71.83,29.13,29.62,82.2
2026-07-15T08:42:00+00:00,149.7,850.19,207.6,73.1,26.93,29.56,80.6
2026-07-15T08:43:00+00:00,141.19,842.41,222.35,71.63,31.27,30.47,83.3
2026-07-15T08:44:00+00:00,169.62,807.41,207.23,71.63,30.99,32.53,81.6
2026-07-15T08:45:00+00:00,144.33,834.57,218.56,72.39,30.41,30.07,76.3
2026-07-15T08:46:00+00:00,157.95,835.56,212.21,72.22,30.93,32.67,73.49
2026-07-15T08:47:00+00:00,154.23,793.92,214.24,70.65,32.77,30.16,81.13
