timestamp_utc,clinker_outlet_T_c,secondary_air_T_c,exhaust_T_c,fan_amp_4_20mA,grate_speed_hz,ambient_T_c,ambient_rh_pct
2026-07-15T08:15:00+00:00,334.15,724.16,170.97,72.1,33.81,31.98,78.28
2026-07-15T08:16:00+00:00,331.95,696.32,184.88,72.39,34.78,30.15,84.55
2026-07-15T08:17:00+00:00,358.17,725.95,182.65,71.94,34.19,32.77,79.93
2026-07-15T08:18:00+00:00,330.18,702.52,179.65,71.54,34.24,30.34,80.51
2026-07-15T08:19:00+00:00,350.45,721.3,150.24,71.65,34.79,31.84,82.36
2026-07-15T08:20:00+00:00,317.01,733.34,197.88,72.04,31.39,30.96,63.08
2026-07-15T08:21:00+00:00,349.03,771.93,172.62,72.45,33.35,33.96,82.56
2026-07-15T08:22:00+00:00,355.36,720.13,170.39,71.42,28.16,31.07,74.3
2026-07-15T08:23:00+00:00,358.87,712.93,194.34,71.62,34.5,31.88,74.91
2026-07-15T08:24:00+00:00,356.73,693.39,162.51,72.59,32.15,29.83,75.89
2026-07-15T08:25:00+00:00,356.35,766.07,172.74,71.35,32.68,32.9,79.04
2026-07-15T08:26:00+00:00,345.97,738.02,168.86,73.34,37.06,31.22,66.45
2026-07-15T08:27:00+00:00,388.2,753.11,181.39,71.59,33.73,32.17,75.93
2026-07-15T08:28:00+00:00,336.88,724.71,171.71,72.49,31.09,32.07,71.8
2026-07-15T08:29:00+00:00,354.5,710.17,173.69,71.29,30.55,32.98,71.45
2026-07-15T08:30:00+00:00,323.79,757.86,175.24,72.2,33.93,32.81,74.08
2026-07-15T08:31:00+00:00,355.57,707.55,196.02,72.37,29.26,32.24,81.38
2026-07-15T08:32:00+00:00,340.63,705.0,170.76,72.34,30.04,32.15,67.09
2026-07-15T08:33:00+00:00,350.82,743.62,204.53,71.63,32.18,33.5,84.86
2026-07-15T08:34:00+00:00,354.84,702.73,199.51,72.74,33.45,32.68,80.51
2026-07-15T08:35:00+00:00,362.29,726.48,172.7,71.72,33.31,34.33,71.66
2026-07-15T08:36:00+00:00,351.42,740.17,169.82,72.3,34.34,31.21,85.58
2026-07-15T08:37:00+00:00,393.04,692.33,165.0,72.27,32.88,32.73,79.23
2026-07-15T08:38:00+00:00,338.74,724.93,187.94,71.57,29.61,31.3,72.07
2026-07-15T08:39:00+00:00,344.5,739.19,157.21,72.01,32.74,32.44,70.1
2026-07-15T08:40:00+00:00,329.14,738.38,183.74,72.49,32.08,31.39,71.22
2026-07-15T08:41:00+00:00,393.99,751.89,159.98,71.43,31.93,30.62,77.92
2026-07-15T08:42:00+00:00,353.56,749.26,167.33,72.79,29.77,30.58,76.45
2026-07-15T08:43:00+00:00,346.02,743.64,182.21,71.42,34.16,31.53,79.28
2026-07-15T08:44:00+00:00,375.4,710.86,167.22,71.53,33.93,33.62,77.72
2026-07-15T08:45:00+00:00,351.02,740.31,178.67,72.39,33.41,31.19,72.55
2026-07-15T08:46:00+00:00,365.51,743.6,172.43,72.32,33.98,33.82,69.87
2026-07-15T08:47:00+00:00,362.6,704.27,174.56,70.86,35.88,31.35,77.65
2026-07-15T08:48:00+00:00,326.93,733.87,180.39,72.1,32.27,31.28,74.04
2026-07-15T08:49:00+00:00,368.71,714.7,181.31,72.13,33.51,30.72,81.77
2026-07-15T08:50:00+00:00,335.58,746.87,161.54,72.03,33.69,32.76,71.39
2026-07-15T08:51:00+00:00,324.34,692.17,184.45,72.84,31.91,30.9,72.11
2026-07-15T08:52:00+00:00,342.47,703.41,177.77,71.96,31.12,29.58,67.94
2026-07-15T08:53:00+00:00,322.04,762.59,149.06,71.96,34.54,33.14,76.0
2026-07-15T08:54:00+00:00,325.61,733.37,177.45,72.29,34.12,30.8,71.73
2026-07-15T08:55:00+00:00,336.52,715.16,172.89,72.73,33.69,33.66,69.15
2026-07-15T08:56:00+00:00,352.5,738.87,157.01,72.55,28.14,32.06,76.41
2026-07-15T08:57:00+00:00,356.63,737.68,183.0,71.07,28.9,31.99,78.12
2026-07-15T08:58:00+00:00,340.66,692.44,175.54,71.97,34.94,32.34,69.09
2026-07-15T08:59:00+00:00,360.12,738.5,177.21,72.51,34.91,32.16,76.11
2026-07-15T09:00:00+00:00,311.13,751.28,162.85,72.87,27.93,33.06,72.25
2026-07-15T09:01:00+00:00,332.58,714.22,160.24,71.58,34.13,31.14,85.16
2026-07-15T09:02:00+00:00,357.15,701.02,161.96,71.58,34.52,32.79,68.03
2026-07-15T09:03:00+00:00,328.0,715.57,177.89,72.33,31.66,30.6,78.59
2026-07-15T09:04:00+00:00,333.31,735.04,174.12,71.53,33.1,31.7,69.1
